date,open,high,low,close,volume,name
2015-05-21,76.57,76.64,76.02,76.16,3192720.0,DUK
2015-05-22,76.0,76.27,75.72,76.05,2150770.0,DUK
2015-05-26,76.03,76.14,75.3,75.76,2851577.0,DUK
2015-05-27,76.0,76.395,75.83,76.21,2789152.0,DUK
2015-05-28,76.19,76.3,75.75,75.95,3167206.0,DUK
2015-05-29,76.16,76.26,75.58,75.73,3115900.0,DUK
2015-06-01,76.26,76.36,75.69,76.0,4027039.0,DUK
2015-06-02,75.63,75.63,74.71,75.05,5105515.0,DUK
2015-06-03,75.0,75.39,73.53,74.2,5564951.0,DUK
2015-06-04,74.0,74.69,73.96,74.21,4544724.0,DUK
2015-06-05,73.5,73.8,72.85,72.85,5564669.0,DUK
2015-06-08,72.68,72.8501,72.26,72.45,4761717.0,DUK
2015-06-09,72.37,72.93,72.08,72.13,3618201.0,DUK
2015-06-10,72.58,73.004,72.01,72.05,3512861.0,DUK
2015-06-11,72.58,73.17,72.56,72.86,3427299.0,DUK
2015-06-12,72.38,73.03,72.34,72.53,3788106.0,DUK
2015-06-15,72.4,72.9,72.17,72.5,2928214.0,DUK
2015-06-16,72.62,72.71,72.14,72.57,3215236.0,DUK
2015-06-17,72.52,73.2,71.94,73.08,3861486.0,DUK
2015-06-18,73.21,74.59,73.21,74.54,4780014.0,DUK
2015-06-19,74.35,74.52,73.14,73.2,7284808.0,DUK
2015-06-22,73.46,73.55,72.91,73.07,2246155.0,DUK
2015-06-23,72.92,73.12,71.77,71.78,3937918.0,DUK
2015-06-24,72.01,72.25,70.93,70.93,4908382.0,DUK
2015-06-25,71.19,71.33,70.68,70.68,2900769.0,DUK
2015-06-26,70.59,71.37,70.47,71.0,4537280.0,DUK
2015-06-29,71.08,71.71,70.82,70.85,3219662.0,DUK
2015-06-30,70.99,71.04,70.41,70.62,3911287.0,DUK
2015-07-01,70.8,71.12,70.24,71.08,2372605.0,DUK
2015-07-02,71.68,72.64,71.43,72.53,3377403.0,DUK
2015-07-06,72.37,73.0,72.22,72.85,2830213.0,DUK
2015-07-07,73.22,75.71,73.22,75.27,6836493.0,DUK
2015-07-08,74.83,75.57,74.7,74.79,2918880.0,DUK
2015-07-09,74.95,75.23,73.69,74.07,4500117.0,DUK
2015-07-10,74.38,75.17,73.98,74.37,2381604.0,DUK
2015-07-13,74.57,74.94,73.94,74.35,2796026.0,DUK
2015-07-14,74.56,74.81,73.5,73.8,3372504.0,DUK
2015-07-15,73.7,74.15,73.36,74.02,2521633.0,DUK
2015-07-16,74.11,74.985,74.07,74.81,3137778.0,DUK
2015-07-17,74.49,74.74,73.5003,73.57,3779631.0,DUK
2015-07-20,73.6,73.78,72.77,73.27,2897107.0,DUK
2015-07-21,73.2,73.2,72.02,72.42,2939834.0,DUK
2015-07-22,72.46,73.02,72.29,72.37,3316620.0,DUK
2015-07-23,72.26,72.31,71.02,71.56,3358740.0,DUK
2015-07-24,71.57,72.02,71.25,71.69,1818371.0,DUK
2015-07-27,71.76,73.305,71.75,73.0,3104004.0,DUK
2015-07-28,72.8,73.38,72.68,73.13,3242774.0,DUK
2015-07-29,72.93,73.27,72.41,73.11,2797093.0,DUK
2015-07-30,72.75,73.675,72.68,73.45,2479203.0,DUK
2015-07-31,74.2,74.93,74.03,74.22,2761204.0,DUK
2015-08-03,74.3,75.08,74.29,74.96,2755238.0,DUK
2015-08-04,74.88,74.88,73.77,73.92,2413816.0,DUK
2015-08-05,74.2,74.49,73.66,73.98,1979342.0,DUK
2015-08-06,73.98,73.98,72.65,73.84,4098965.0,DUK
2015-08-07,73.59,75.34,73.14,75.15,3637494.0,DUK
2015-08-10,75.15,75.41,74.59,74.81,3594530.0,DUK
2015-08-11,75.04,75.88,74.57,75.29,3431827.0,DUK
2015-08-12,74.4,76.05,74.22,75.56,4399846.0,DUK
2015-08-13,75.38,75.825,74.67,75.58,2690638.0,DUK
2015-08-14,75.37,76.4761,75.14,76.37,2455817.0,DUK
2015-08-17,76.45,76.945,76.14,76.52,2401610.0,DUK
2015-08-18,76.39,76.49,76.0,76.24,2681084.0,DUK
2015-08-19,76.1,77.39,75.61,77.21,4422163.0,DUK
2015-08-20,76.78,77.45,76.25,76.77,3740868.0,DUK
2015-08-21,76.15,77.53,75.87,76.71,6031877.0,DUK
2015-08-24,74.66,75.19,72.03,72.44,7492790.0,DUK
2015-08-25,73.27,74.12,70.15,70.21,5582953.0,DUK
2015-08-26,71.22,71.94,70.53,71.74,6795933.0,DUK
2015-08-27,72.23,72.82,71.7,72.52,4762911.0,DUK
2015-08-28,72.6,72.6,71.16,72.39,3022354.0,DUK
2015-08-31,71.84,72.35,70.3499,70.91,4338403.0,DUK
2015-09-01,70.26,70.29,68.66,69.05,3813806.0,DUK
2015-09-02,69.58,69.78,68.67,69.16,3501799.0,DUK
2015-09-03,69.54,69.74,69.03,69.28,2329300.0,DUK
2015-09-04,68.7,68.9,67.98,68.26,3287749.0,DUK
2015-09-08,68.8,69.37,68.535,69.36,2895171.0,DUK
2015-09-09,69.63,69.76,68.1,68.21,3278569.0,DUK
2015-09-10,68.2,68.5,67.49,67.74,3225648.0,DUK
2015-09-11,67.64,68.36,67.27,68.34,3047237.0,DUK
2015-09-14,68.4,68.86,68.11,68.31,2126530.0,DUK
2015-09-15,68.36,68.9,67.6875,68.59,2996344.0,DUK
2015-09-16,68.92,69.42,68.63,69.18,3410560.0,DUK
2015-09-17,69.23,70.98,69.02,69.91,4229245.0,DUK
2015-09-18,69.25,70.06,69.18,69.45,5328184.0,DUK
2015-09-21,69.3,70.18,69.25,70.05,2511950.0,DUK
2015-09-22,69.58,70.04,68.939,69.15,3384943.0,DUK
2015-09-23,69.18,69.36,68.46,69.09,1923828.0,DUK
2015-09-24,68.87,70.47,68.65,70.32,3774239.0,DUK
2015-09-25,70.31,71.42,69.91,70.71,3302502.0,DUK
2015-09-28,70.59,71.26,70.34,70.45,3013937.0,DUK
2015-09-29,70.44,70.9,70.035,70.73,2782513.0,DUK
2015-09-30,70.95,72.015,70.65,71.94,3209815.0,DUK
2015-10-01,71.99,72.13,70.0,70.67,3411017.0,DUK
2015-10-02,71.32,71.99,70.54,71.96,4122593.0,DUK
2015-10-05,72.33,73.3,71.78,73.08,3157200.0,DUK
2015-10-06,72.99,73.44,72.34,73.09,4497806.0,DUK
2015-10-07,73.15,73.4301,72.59,72.67,4097533.0,DUK
2015-10-08,72.4,73.22,72.14,73.0,2344276.0,DUK
2015-10-09,72.93,73.24,72.015,72.26,3071586.0,DUK
2015-10-12,72.26,73.47,72.25,72.82,2304375.0,DUK
2015-10-13,72.75,73.1,72.25,72.53,2391084.0,DUK
2015-10-14,72.56,72.94,72.25,72.34,2226535.0,DUK
2015-10-15,72.69,73.59,72.29,73.48,2307929.0,DUK
2015-10-16,73.83,74.17,73.4532,73.59,2575199.0,DUK
2015-10-19,73.49,73.78,72.73,73.58,2183596.0,DUK
2015-10-20,73.49,74.08,73.31,73.7,2445225.0,DUK
2015-10-21,73.96,74.38,73.56,73.86,2028222.0,DUK
2015-10-22,74.02,75.29,73.81,75.06,2462991.0,DUK
2015-10-23,74.87,75.24,73.6,73.74,2055040.0,DUK
2015-10-26,73.94,73.94,71.59,72.25,5127722.0,DUK
2015-10-27,72.25,72.87,72.02,72.41,3096040.0,DUK
2015-10-28,72.5,72.89,70.73,71.55,2568454.0,DUK
2015-10-29,71.19,71.62,70.3,71.57,3941398.0,DUK
2015-10-30,71.63,71.89,71.27,71.47,2918894.0,DUK
2015-11-02,71.4,72.29,71.09,72.18,3324379.0,DUK
2015-11-03,71.85,72.3701,71.5,72.24,2884126.0,DUK
2015-11-04,72.07,72.55,71.7,71.93,3143837.0,DUK
2015-11-05,71.8,72.18,70.69,71.45,4090104.0,DUK
2015-11-06,69.99,70.06,67.07,67.76,7414712.0,DUK
2015-11-09,67.59,68.87,67.33,67.97,5404256.0,DUK
2015-11-10,67.25,67.79,67.1292,67.37,3068018.0,DUK
2015-11-11,67.53,68.44,67.4,68.23,2738011.0,DUK
2015-11-12,68.01,68.81,67.28,67.29,3095578.0,DUK
2015-11-13,67.45,67.99,66.68,66.89,3497182.0,DUK
2015-11-16,66.89,67.75,66.7611,67.73,2782486.0,DUK
2015-11-17,67.54,68.01,65.645,65.83,5423417.0,DUK
2015-11-18,66.14,67.3,65.82,67.2,3856609.0,DUK
2015-11-19,67.49,68.53,67.25,68.49,3770637.0,DUK
2015-11-20,68.85,69.46,68.64,69.1,3734360.0,DUK
2015-11-23,69.05,69.2489,67.79,68.01,3442340.0,DUK
2015-11-24,67.76,68.19,67.36,68.08,2860850.0,DUK
2015-11-25,67.97,68.16,67.58,67.72,1972953.0,DUK
2015-11-27,67.74,68.3,67.49,67.51,1482006.0,DUK
2015-11-30,67.61,68.2301,67.55,67.76,3847729.0,DUK
2015-12-01,68.05,68.439,67.39,68.06,2846877.0,DUK
2015-12-02,67.88,67.94,66.055,66.13,4304032.0,DUK
2015-12-03,66.04,66.73,65.5,66.23,3960434.0,DUK
2015-12-04,66.49,67.1,66.3,67.04,2712078.0,DUK
2015-12-07,66.8,68.56,66.77,68.5,4328101.0,DUK
2015-12-08,68.27,68.6,67.81,68.44,3690121.0,DUK
2015-12-09,68.17,69.5,67.9,68.61,2703195.0,DUK
2015-12-10,68.45,68.46,67.305,67.43,2972671.0,DUK
2015-12-11,67.19,67.98,66.99,67.84,4730328.0,DUK
2015-12-14,67.81,68.5,67.25,68.45,3645409.0,DUK
2015-12-15,68.57,69.53,68.26,68.84,4233305.0,DUK
2015-12-16,69.29,70.29,69.11,70.03,4747795.0,DUK
2015-12-17,70.07,71.02,69.7016,70.5,4205837.0,DUK
2015-12-18,70.08,70.35,68.78,69.6,6136909.0,DUK
2015-12-21,69.96,70.26,69.33,69.81,2122635.0,DUK
2015-12-22,70.35,71.15,69.66,70.95,2948958.0,DUK
2015-12-23,71.15,72.305,71.08,72.0,2737702.0,DUK
2015-12-24,72.0,72.39,71.8976,72.04,1018162.0,DUK
2015-12-28,71.75,72.26,71.6,71.92,2351806.0,DUK
2015-12-29,72.28,72.75,72.17,72.37,1943634.0,DUK
2015-12-30,72.37,72.6,72.12,72.19,2062133.0,DUK
2015-12-31,72.14,72.22,70.74,71.39,2999478.0,DUK
2016-01-04,70.93,71.21,70.16,71.19,3565451.0,DUK
2016-01-05,71.18,71.85,70.18,71.7,2706795.0,DUK
2016-01-06,71.11,72.1799,70.87,71.86,2382816.0,DUK
2016-01-07,71.05,71.77,70.8915,71.2,2887788.0,DUK
2016-01-08,71.19,71.68,70.91,71.04,2198006.0,DUK
2016-01-11,71.25,72.05,71.2,71.83,2968865.0,DUK
2016-01-12,72.14,72.26,70.6,71.27,2976160.0,DUK
2016-01-13,71.36,72.35,71.29,71.7,2622719.0,DUK
2016-01-14,71.73,72.835,71.155,72.37,3645240.0,DUK
2016-01-15,71.48,72.3,71.02,72.08,4818989.0,DUK
2016-01-19,72.47,73.355,72.09,73.16,3179767.0,DUK
2016-01-20,72.57,72.99,70.65,71.42,3593312.0,DUK
2016-01-21,71.7,72.14,70.35,71.09,4501454.0,DUK
2016-01-22,71.58,72.2411,70.95,72.18,3161445.0,DUK
2016-01-25,72.19,72.2898,71.52,71.8,2398640.0,DUK
2016-01-26,72.0,73.2,71.74,72.22,2601256.0,DUK
2016-01-27,72.0,72.8906,71.66,72.41,2087017.0,DUK
2016-01-28,72.17,73.96,71.83,73.47,2293980.0,DUK
2016-01-29,73.99,75.41,73.93,75.3,4822440.0,DUK
2016-02-01,75.18,77.68,75.0201,77.0,6727089.0,DUK
2016-02-02,76.09,76.935,76.03,76.75,4666962.0,DUK
2016-02-03,76.84,78.72,76.76,78.56,4913254.0,DUK
2016-02-04,78.27,79.03,77.88,78.58,4545889.0,DUK
2016-02-05,78.17,79.2232,77.35,79.04,3521930.0,DUK
2016-02-08,79.25,80.0963,78.6,79.17,5350635.0,DUK
2016-02-09,78.75,79.81,78.24,78.93,3806508.0,DUK
2016-02-10,77.61,78.56,76.39,78.12,4134944.0,DUK
2016-02-11,77.77,78.31,76.77,76.8,4053553.0,DUK
2016-02-12,76.96,77.31,75.51,76.24,4520436.0,DUK
2016-02-16,76.2,76.49,75.45,76.29,3550165.0,DUK
2016-02-17,76.52,76.58,75.27,75.5,4989497.0,DUK
2016-02-18,75.04,76.66,74.69,76.21,6529897.0,DUK
2016-02-19,75.93,75.93,74.19,74.55,6272120.0,DUK
2016-02-22,74.8,75.21,74.26,74.84,3893699.0,DUK
2016-02-23,74.65,75.17,74.23,74.81,4231879.0,DUK
2016-02-24,74.99,75.44,74.34,74.95,3869778.0,DUK
2016-02-25,75.16,76.45,74.84,76.44,3494067.0,DUK
2016-02-26,76.07,76.31,73.95,74.03,4250855.0,DUK
2016-02-29,73.96,74.945,73.786,74.28,3519523.0,DUK
2016-03-01,74.66,74.72,72.7,73.35,6084748.0,DUK
2016-03-02,73.35,73.88,72.48,73.63,12096999.0,DUK
2016-03-03,73.76,74.42,72.94,74.33,4237982.0,DUK
2016-03-04,73.98,75.55,73.665,75.17,3826849.0,DUK
2016-03-07,75.0,76.26,74.82,76.25,3469795.0,DUK
2016-03-08,76.32,77.31,75.9,77.27,4691546.0,DUK
2016-03-09,77.0,77.83,76.7,77.51,5048720.0,DUK
2016-03-10,77.51,77.88,76.84,77.26,4552841.0,DUK
2016-03-11,77.92,78.145,77.5133,77.76,2908913.0,DUK
2016-03-14,77.96,78.04,77.21,77.72,2902310.0,DUK
2016-03-15,77.5,78.26,77.44,78.05,3312275.0,DUK
2016-03-16,78.2,79.08,77.08,78.95,3422083.0,DUK
2016-03-17,79.05,80.22,78.68,79.99,4041245.0,DUK
2016-03-18,80.26,80.4,79.42,79.67,6526815.0,DUK
2016-03-21,79.06,79.95,78.55,79.52,2940607.0,DUK
2016-03-22,79.42,79.8,78.84,78.88,2862750.0,DUK
2016-03-23,78.86,80.01,78.43,79.81,2565722.0,DUK
2016-03-24,79.54,80.11,79.33,79.75,2609455.0,DUK
2016-03-28,79.75,80.35,79.31,79.48,1745681.0,DUK
2016-03-29,79.7,80.46,79.06,80.44,2771748.0,DUK
2016-03-30,80.4,80.59,79.78,80.35,1660088.0,DUK
2016-03-31,80.35,80.71,79.81,80.68,2812976.0,DUK
2016-04-01,80.48,81.32,80.28,81.13,3155315.0,DUK
2016-04-04,81.15,81.38,80.3978,81.09,1903429.0,DUK
2016-04-05,81.06,81.39,79.77,79.9,3002202.0,DUK
2016-04-06,79.6,79.77,78.67,79.36,3309485.0,DUK
2016-04-07,79.2,80.01,79.2,79.29,2506888.0,DUK
2016-04-08,79.63,80.35,79.54,79.77,1953681.0,DUK
2016-04-11,79.84,80.19,79.43,79.44,1928322.0,DUK
2016-04-12,79.75,80.39,79.35,80.22,2075295.0,DUK
2016-04-13,80.41,80.41,79.13,79.63,1899901.0,DUK
2016-04-14,79.61,79.7599,79.055,79.45,1807844.0,DUK
2016-04-15,79.46,80.17,79.34,80.0,2520760.0,DUK
2016-04-18,79.85,80.4,79.49,80.4,1993496.0,DUK
2016-04-19,80.56,80.64,79.3101,79.79,3543490.0,DUK
2016-04-20,79.99,80.25,78.13,78.2,3238246.0,DUK
2016-04-21,78.2,78.2925,76.21,76.34,4967061.0,DUK
2016-04-22,76.64,77.12,76.43,77.01,2711619.0,DUK
2016-04-25,76.82,77.1748,76.43,76.76,2807352.0,DUK
2016-04-26,76.97,77.205,76.53,76.95,2105691.0,DUK
2016-04-27,77.24,78.58,77.01,78.06,2927600.0,DUK
2016-04-28,77.32,78.42,77.02,78.34,2286957.0,DUK
2016-04-29,77.81,78.85,77.24,78.78,2727378.0,DUK
2016-05-02,78.83,79.63,78.6837,78.94,2990164.0,DUK
2016-05-03,78.94,79.61,78.37,78.84,3026758.0,DUK
2016-05-04,78.83,80.61,78.64,80.02,4192424.0,DUK
2016-05-05,79.7,80.74,79.54,80.18,3698428.0,DUK
2016-05-06,80.11,80.13,78.36,79.38,4454174.0,DUK
2016-05-09,79.34,80.43,79.14,80.06,2679087.0,DUK
2016-05-10,80.41,80.5,79.84,80.06,2457833.0,DUK
2016-05-11,80.3,80.5,79.55,80.49,2704407.0,DUK
2016-05-12,80.35,81.28,79.91,81.08,2762313.0,DUK
2016-05-13,81.08,81.15,80.27,80.77,2612541.0,DUK
2016-05-16,80.58,81.01,80.1592,81.0,2426488.0,DUK
2016-05-17,80.9,80.9,79.06,79.51,3682148.0,DUK
2016-05-18,78.6,78.6,76.36,76.57,4109432.0,DUK
2016-05-19,76.17,77.01,75.72,76.97,2882963.0,DUK
2016-05-20,77.26,77.27,76.47,77.0,2444902.0,DUK
2016-05-23,77.04,77.18,76.08,76.15,2755050.0,DUK
2016-05-24,76.42,77.09,76.23,76.99,2423582.0,DUK
2016-05-25,76.95,77.11,76.35,76.95,3613463.0,DUK
2016-05-26,76.99,78.01,76.99,77.96,1816738.0,DUK
2016-05-27,77.94,78.14,77.6,77.98,2194244.0,DUK
2016-05-31,78.01,78.37,77.68,78.23,4164965.0,DUK
2016-06-01,78.25,79.03,78.0,79.02,2917096.0,DUK
2016-06-02,78.72,79.01,77.96,78.94,2453074.0,DUK
2016-06-03,79.64,80.46,79.62,80.08,4171028.0,DUK
2016-06-06,80.27,80.47,79.57,79.84,3007803.0,DUK
2016-06-07,80.24,80.47,79.83,79.99,1957694.0,DUK
2016-06-08,79.84,80.51,79.84,80.51,1672289.0,DUK
2016-06-09,80.43,81.41,80.13,81.26,2534494.0,DUK
2016-06-10,81.23,81.5952,80.62,81.24,3222974.0,DUK
2016-06-13,81.6,82.0,81.33,81.61,2879762.0,DUK
2016-06-14,81.51,82.44,81.3,82.41,3120273.0,DUK
2016-06-15,82.42,82.58,81.28,81.53,3229045.0,DUK
2016-06-16,81.9,82.71,81.7,82.53,3395857.0,DUK
2016-06-17,82.58,83.0,81.87,82.98,5575875.0,DUK
2016-06-20,82.73,82.9,81.32,82.0,3800807.0,DUK
2016-06-21,81.67,82.51,81.48,82.0,2042627.0,DUK
2016-06-22,82.05,82.18,81.73,81.83,1697661.0,DUK
2016-06-23,81.86,82.06,81.36,82.05,1582732.0,DUK
2016-06-24,81.63,83.29,81.41,82.43,3699292.0,DUK
2016-06-27,82.38,84.16,82.29,83.99,4394782.0,DUK
2016-06-28,83.77,84.0,83.12,83.94,4507005.0,DUK
2016-06-29,84.22,84.5,83.66,84.15,3699803.0,DUK
2016-06-30,84.3,85.79,84.14,85.79,5473077.0,DUK
2016-07-01,85.91,86.15,84.77,85.63,3402717.0,DUK
2016-07-05,85.79,87.015,85.61,86.93,3746885.0,DUK
2016-07-06,86.86,87.31,86.2901,87.23,3785900.0,DUK
2016-07-07,86.79,87.02,84.9401,85.29,4186596.0,DUK
2016-07-08,85.16,86.06,84.22,86.01,2809928.0,DUK
2016-07-11,85.43,86.119,84.58,86.01,2648536.0,DUK
2016-07-12,85.5,85.75,84.37,84.44,3774799.0,DUK
2016-07-13,84.99,85.21,84.5101,85.05,3694906.0,DUK
2016-07-14,84.45,84.94,84.2,84.75,2990594.0,DUK
2016-07-15,84.99,85.29,84.45,84.92,2334411.0,DUK
2016-07-18,85.13,85.63,85.0,85.25,2965382.0,DUK
2016-07-19,85.165,85.49,84.82,85.38,4025276.0,DUK
2016-07-20,85.38,85.43,84.58,84.92,2124911.0,DUK
2016-07-21,84.56,85.5,84.23,85.4,2360575.0,DUK
2016-07-22,85.25,86.57,85.0,86.5,2226854.0,DUK
2016-07-25,86.49,86.71,86.03,86.69,2185642.0,DUK
2016-07-26,86.64,86.8399,85.56,85.75,2250030.0,DUK
2016-07-27,85.6,85.65,84.15,84.83,3751738.0,DUK
2016-07-28,84.87,85.43,84.64,85.2,1724844.0,DUK
2016-07-29,85.45,85.99,85.211,85.59,3197346.0,DUK
2016-08-01,85.4,86.0,85.33,85.65,2445537.0,DUK
2016-08-02,85.24,85.73,84.81,85.56,3083802.0,DUK
2016-08-03,85.43,85.58,84.7,85.15,3076765.0,DUK
2016-08-04,85.0,85.5,84.8,85.24,2351747.0,DUK
2016-08-05,85.0,85.0,84.05,84.23,3540224.0,DUK
2016-08-08,84.33,85.12,83.85,84.74,3977505.0,DUK
2016-08-09,84.66,85.031,84.36,84.73,3195898.0,DUK
2016-08-10,84.03,84.54,83.28,83.79,2732128.0,DUK
2016-08-11,83.92,83.97,83.46,83.91,2731403.0,DUK
2016-08-12,84.14,84.3,83.45,83.49,2634738.0,DUK
2016-08-15,83.61,83.8,81.61,81.66,4025611.0,DUK
2016-08-16,81.51,81.58,80.41,80.45,4648975.0,DUK
2016-08-17,80.45,81.82,79.15,81.69,5850867.0,DUK
2016-08-18,81.56,82.78,81.52,82.78,3961194.0,DUK
2016-08-19,82.45,82.56,81.23,81.65,2632006.0,DUK
2016-08-22,81.88,82.2237,81.49,81.89,1888706.0,DUK
2016-08-23,82.02,82.35,81.43,81.45,2199417.0,DUK
2016-08-24,81.38,81.75,80.8,81.56,2048569.0,DUK
2016-08-25,81.66,82.075,81.45,81.73,1858326.0,DUK
2016-08-26,81.74,82.17,79.82,79.92,2400721.0,DUK
2016-08-29,80.11,80.61,80.07,80.44,1923422.0,DUK
2016-08-30,80.4,80.79,79.4,79.52,3101032.0,DUK
2016-08-31,79.52,79.75,79.22,79.66,3546181.0,DUK
2016-09-01,79.66,79.8,79.13,79.33,2428567.0,DUK
2016-09-02,79.33,80.275,79.22,80.24,2767609.0,DUK
2016-09-06,80.55,81.23,80.24,80.94,2775929.0,DUK
2016-09-07,81.26,81.26,80.38,80.54,2259627.0,DUK
2016-09-08,80.44,81.01,80.27,80.81,2047107.0,DUK
2016-09-09,80.04,80.22,77.92,77.95,3329491.0,DUK
2016-09-12,78.11,79.56,77.9,79.28,3518388.0,DUK
2016-09-13,79.32,79.46,78.44,78.79,3602362.0,DUK
2016-09-14,79.75,87.75,78.38,78.67,2531975.0,DUK
2016-09-15,78.26,79.17,78.26,79.06,2518507.0,DUK
2016-09-16,78.54,79.68,78.45,79.61,5058225.0,DUK
2016-09-19,79.77,80.52,79.65,80.46,3159627.0,DUK
2016-09-20,80.51,80.8399,80.17,80.17,2399704.0,DUK
2016-09-21,80.18,81.93,80.17,81.9,2728149.0,DUK
2016-09-22,82.12,82.625,81.7566,82.51,2707344.0,DUK
2016-09-23,82.28,82.79,82.0,82.52,2348821.0,DUK
2016-09-26,82.42,82.67,81.86,82.15,2718086.0,DUK
2016-09-27,82.51,82.81,81.29,81.43,2268288.0,DUK
2016-09-28,81.73,81.73,80.44,81.1,1998505.0,DUK
2016-09-29,80.82,80.82,79.68,80.31,2898863.0,DUK
2016-09-30,80.62,80.94,79.51,80.04,3883040.0,DUK
2016-10-03,79.78,79.84,78.53,79.09,2963183.0,DUK
2016-10-04,79.1,79.49,77.11,77.46,3491927.0,DUK
2016-10-05,77.58,78.37,76.9269,77.09,3834155.0,DUK
2016-10-06,77.05,77.905,76.54,77.09,5137591.0,DUK
2016-10-07,77.63,78.21,76.52,76.57,4537993.0,DUK
2016-10-10,76.88,77.38,76.54,77.06,2381509.0,DUK
2016-10-11,76.8,76.82,75.81,75.91,3479439.0,DUK
2016-10-12,76.03,76.8099,76.0,76.65,3082368.0,DUK
2016-10-13,76.57,78.47,76.57,77.94,3773614.0,DUK
2016-10-14,77.68,77.98,77.18,77.21,2460481.0,DUK
2016-10-17,77.3,77.81,77.235,77.54,1784521.0,DUK
2016-10-18,77.91,78.25,76.95,77.9,2481537.0,DUK
2016-10-19,77.9,78.28,77.5,78.13,2547351.0,DUK
2016-10-20,78.23,79.09,77.97,78.42,2803992.0,DUK
2016-10-21,78.02,78.26,77.55,78.02,2133129.0,DUK
2016-10-24,78.31,78.61,77.81,78.4,2868073.0,DUK
2016-10-25,78.27,78.82,78.15,78.59,3664546.0,DUK
2016-10-26,78.58,78.93,78.12,78.77,2215132.0,DUK
2016-10-27,78.44,78.74,77.94,78.42,1982544.0,DUK
2016-10-28,78.57,79.0909,78.28,78.72,1608778.0,DUK
2016-10-31,78.96,80.4905,78.8,80.02,3523874.0,DUK
2016-11-01,80.04,80.045,78.34,78.57,2985024.0,DUK
2016-11-02,78.37,78.47,76.93,78.0,3239576.0,DUK
2016-11-03,77.83,78.36,77.4,77.98,2455263.0,DUK
2016-11-04,78.5,79.18,77.18,77.27,2849356.0,DUK
2016-11-07,77.81,79.13,76.9,79.13,3303852.0,DUK
2016-11-08,79.32,79.99,79.0,79.65,2243228.0,DUK
2016-11-09,79.0,79.0,77.15,77.34,4758422.0,DUK
2016-11-10,76.99,76.99,73.69,75.16,6005420.0,DUK
2016-11-11,75.11,75.98,74.75,75.24,3745967.0,DUK
2016-11-14,75.09,75.1,73.58,74.44,5902955.0,DUK
2016-11-15,74.96,76.37,74.86,75.93,4441954.0,DUK
2016-11-16,75.28,75.57,73.6899,73.97,4849292.0,DUK
2016-11-17,73.96,74.495,73.75,73.87,4460056.0,DUK
2016-11-18,74.01,74.21,73.34,73.6,4450492.0,DUK
2016-11-21,73.99,74.5,73.78,74.43,3204317.0,DUK
2016-11-22,74.12,74.34,73.27,73.88,3590753.0,DUK
2016-11-23,73.32,74.3,73.23,73.54,2947778.0,DUK
2016-11-25,73.75,74.71,73.73,74.35,1972203.0,DUK
2016-11-28,74.66,76.14,74.62,76.08,4049028.0,DUK
2016-11-29,75.79,76.67,75.63,76.37,3763059.0,DUK
2016-11-30,75.27,75.36,73.77,73.77,5583153.0,DUK
2016-12-01,73.5,73.57,72.47,72.75,4324845.0,DUK
2016-12-02,73.3,74.18,72.94,73.42,3754148.0,DUK
2016-12-05,73.14,73.61,72.34,73.61,3559201.0,DUK
2016-12-06,73.83,74.22,73.6,73.86,3140033.0,DUK
2016-12-07,73.98,74.77,73.88,74.67,3370910.0,DUK
2016-12-08,74.11,74.93,73.5,74.73,3386584.0,DUK
2016-12-09,74.68,75.84,74.61,75.82,3196119.0,DUK
2016-12-12,75.65,76.59,75.58,76.48,3963607.0,DUK
2016-12-13,76.67,77.45,76.52,77.32,3968706.0,DUK
2016-12-14,77.6,77.9408,75.35,75.53,4756011.0,DUK
2016-12-15,75.34,76.11,74.95,76.03,3127737.0,DUK
2016-12-16,76.2,76.8,75.78,76.59,7037998.0,DUK
2016-12-19,77.1,77.24,76.37,77.13,2774996.0,DUK
2016-12-20,76.71,77.583,76.62,77.35,2639185.0,DUK
2016-12-21,77.23,77.66,76.98,77.0,2013330.0,DUK
2016-12-22,76.96,78.05,76.91,77.77,3339006.0,DUK
2016-12-23,77.77,77.83,77.25,77.62,1421414.0,DUK
2016-12-27,77.49,77.73,77.13,77.48,1554468.0,DUK
2016-12-28,77.54,77.62,76.9,77.03,1897615.0,DUK
2016-12-29,77.11,78.17,77.0,78.02,2976489.0,DUK
2016-12-30,78.05,78.24,77.35,77.62,2465556.0,DUK
2017-01-03,77.65,78.02,77.02,77.73,2905885.0,DUK
2017-01-04,77.65,78.3499,77.63,77.65,2531056.0,DUK
2017-01-05,77.9,77.96,77.044,77.75,3284643.0,DUK
2017-01-06,77.5,77.87,77.26,77.49,3132399.0,DUK
2017-01-09,77.61,77.73,76.4,76.64,4585676.0,DUK
2017-01-10,76.49,76.83,76.14,76.5,2839994.0,DUK
2017-01-11,76.28,77.2,76.25,77.1,2726221.0,DUK
2017-01-12,76.97,77.61,76.7689,77.54,2476286.0,DUK
2017-01-13,77.34,77.48,76.77,77.21,1954531.0,DUK
2017-01-17,77.47,77.83,77.26,77.46,3754997.0,DUK
2017-01-18,77.38,77.91,77.285,77.5,2235709.0,DUK
2017-01-19,77.27,77.57,76.88,77.12,2575474.0,DUK
2017-01-20,77.32,77.58,76.95,77.33,2662840.0,DUK
2017-01-23,77.43,77.68,76.89,77.03,2166778.0,DUK
